,date,temp,weather,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
0,01-01-21,13ʡC,Partly sunny,Algeria,02-01-21 5:22,99897,2762,67395,29740,227.8098608,2.764847793
1,01-02-21,10ʡC,Partly sunny,Algeria,03-01-21 5:22,100159,2769,67611,29779,228.407338,2.764604279
2,01-03-21,10ʡC,Partly sunny,Algeria,04-01-21 5:22,100408,2772,67808,29828,228.9751694,2.760736196
3,01-04-21,12ʡC,Scattered clouds,Algeria,05-01-21 5:21,100645,2777,67999,29869,229.5156355,2.75920314
4,01-05-21,12ʡC,Overcast,Algeria,06-01-21 5:22,100873,2782,68185,29906,230.0355775,2.757923329
5,01-06-21,11ʡC,Overcast,Algeria,07-01-21 5:22,101120,2786,68383,29951,230.598848,2.755142405
6,01-07-21,15ʡC,Overcast,Algeria,08-01-21 5:22,101382,2792,68589,30001,231.1963253,2.753940542
7,01-08-21,15ʡC,Scattered clouds,Algeria,09-01-21 5:22,101657,2798,68802,30057,231.8234483,2.75239285
8,01-09-21,20ʡC,Scattered clouds,Algeria,10-01-21 5:22,101913,2803,69011,30099,232.4072429,2.750385132
9,01-10-21,15ʡC,Scattered clouds,Algeria,11-01-21 5:21,102144,2807,69212,30125,232.9340262,2.74808114
10,01-11-21,12ʡC,Light rain Overcast,Algeria,12-01-21 5:22,102369,2812,69403,30154,233.4471269,2.746925339
11,01-12-21,10ʡC,Overcast,Algeria,13-01-21 5:22,102641,2816,69608,30217,234.0674086,2.743543029
12,01-13-2021,13ʡC,Scattered clouds,Algeria,14-01-21 5:22,102860,2819,69791,30250,234.5668266,2.740618316
13,01-14-2021,13ʡC,Partly sunny,Algeria,15-01-21 5:22,103127,2822,69992,30313,235.1757061,2.736431778
14,01-15-2021,14ʡC,Scattered clouds,Algeria,16-01-21 5:22,103381,2827,70188,30366,235.7549397,2.734545032
15,01-16-2021,14ʡC,Partly sunny,Algeria,17-01-21 5:22,103611,2831,70373,30407,236.2794427,2.73233537
16,01-17-2021,13ʡC,Sunny,Algeria,18-01-21 5:22,103833,2836,70554,30443,236.785702,2.731308929
17,01-18-2021,15ʡC,Scattered clouds,Algeria,19-01-21 5:22,104092,2840,70747,30505,237.3763379,2.728355685
18,01-19-2021,14ʡC,Passing clouds,Algeria,20-01-21 5:21,104341,2843,70933,30565,237.9441693,2.724719909
19,01-20-2021,18ʡC,Passing clouds,Algeria,21-01-21 5:22,104606,2849,71127,30630,238.5484879,2.723553142
20,01-21-2021,17ʡC,Scattered clouds,Algeria,22-01-21 5:22,104852,2853,71343,30656,239.109478,2.720978141
21,01-22-2021,19ʡC,Overcast,Algeria,23-01-21 5:22,105124,2856,71552,30716,239.7297597,2.716791598
22,01-23-2021,15ʡC,Scattered clouds,Algeria,24-01-21 5:22,105369,2861,71755,30753,240.2884693,2.715219846
23,01-24-2021,18ʡC,Partly sunny,Algeria,25-01-21 5:22,105596,2863,71945,30788,240.8061309,2.711276942
24,01-25-2021,17ʡC,Partly sunny,Algeria,26-01-21 5:22,105854,2866,72143,30845,241.3944863,2.707502787
25,01-26-2021,15ʡC,Partly sunny,Algeria,27-01-21 5:23,106097,2871,72336,30890,241.9486351,2.706014308
26,01-27-2021,17ʡC,Partly sunny,Algeria,28-01-21 5:22,106359,2877,72538,30944,242.5461123,2.704989705
27,01-28-2021,18ʡC,Passing clouds,Algeria,29-01-21 5:22,106610,2881,72745,30984,243.1185046,2.702373136
28,01-29-2021,20ʡC,Scattered clouds,Algeria,30-01-21 5:22,106887,2884,72956,31047,243.7501886,2.698176579
29,01-30-2021,22ʡC,Partly sunny,Algeria,31-01-21 5:22,107122,2888,73152,31082,244.2860937,2.695991486
30,01-31-2021,17ʡC,Scattered clouds,Algeria,01-02-21 5:22,107339,2891,73344,31104,244.7809508,2.693336066
31,02-01-21,27ʡC,Scattered clouds,Algeria,02-02-21 5:22,107578,2894,73530,31154,245.3259778,2.690141107
32,02-02-21,17ʡC,Partly sunny,Algeria,03-02-21 5:22,107841,2898,73732,31211,245.9257354,2.687289621
33,02-03-21,17ʡC,Partly sunny,Algeria,04-02-21 5:22,108116,2900,73940,31276,246.5528585,2.682304192
34,02-04-21,16ʡC,Overcast,Algeria,05-02-21 5:22,108381,2904,74136,31341,247.1571771,2.679436433
35,02-05-21,22ʡC,Partly sunny,Algeria,06-02-21 5:23,108629,2909,74330,31390,247.7227281,2.677922102
36,02-06-21,18ʡC,Scattered clouds,Algeria,07-02-21 5:23,108629,2909,74330,31390,247.7227281,2.677922102
