,date,temp,weather,Country_Region,Last Update,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
34,02-25-2020,15ʡC,Passing clouds,Algeria,2020-02-25T23:43:03,1,0,0,,,
35,02-26-2020,18ʡC,Scattered clouds,Algeria,2020-02-25T23:43:03,1,0,0,,,
36,02-27-2020,17ʡC,Passing clouds,Algeria,2020-02-25T23:43:03,1,0,0,,,
37,02-28-2020,20ʡC,Sunny,Algeria,2020-02-25T23:43:03,1,0,0,,,
38,02-29-2020,19ʡC,Scattered clouds,Algeria,2020-02-25T23:43:03,1,0,0,,,
39,03-01-20,19ʡC,Partly sunny,Algeria,2020-02-25T23:43:03,1,0,0,,,
40,03-02-20,21ʡC,Overcast,Algeria,2020-03-02T00:53:03,3,0,0,,,
41,03-03-20,16ʡC,Scattered clouds,Algeria,2020-03-03T03:23:03,5,0,0,,,
42,03-04-20,17ʡC,Partly sunny,Algeria,2020-03-04T19:33:03,12,0,0,,,
43,03-05-20,20ʡC,Passing clouds,Algeria,2020-03-04T19:33:03,12,0,0,,,
44,03-06-20,18ʡC,Scattered clouds,Algeria,2020-03-06T01:29:39,17,0,0,,,
45,03-07-20,15ʡC,Partly sunny,Algeria,2020-03-06T01:29:39,17,0,0,,,
46,03-08-20,18ʡC,Scattered clouds,Algeria,2020-03-08T05:23:03,19,0,0,,,
47,03-09-20,19ʡC,Scattered clouds,Algeria,2020-03-09T10:13:06,20,0,0,,,
48,03-10-20,15ʡC,Partly sunny,Algeria,2020-03-09T10:13:06,20,0,0,,,
49,03-11-20,16ʡC,Scattered clouds,Algeria,2020-03-09T10:13:06,20,0,0,,,
50,03-12-20,20ʡC,Partly sunny,Algeria,2020-03-12T09:13:24,24,1,8,,,
51,03-13-2020,20ʡC,Partly sunny,Algeria,2020-03-11T20:00:00,26,2,8,,,
52,03-14-2020,18ʡC,Partly sunny,Algeria,2020-03-14T12:33:03,37,3,12,,,
53,03-15-2020,16ʡC,Scattered clouds,Algeria,2020-03-15T18:20:18,48,4,12,,,
